n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
139,-184.6979,[8.8000 -8.8780 ],[0.0173 -0.0187 ],0.0254,[-2.2339 2.4101 ],3.2861,0.0077,127,0.0001
140,-184.7807,[8.8173 -8.8967 ],[0.0184 -0.0170 ],0.0250,[-2.3712 2.2009 ],3.2352,0.0077,127,0.0001
141,-184.8610,[8.8356 -8.9137 ],[0.0168 -0.0181 ],0.0247,[-2.1684 2.3329 ],3.1850,0.0077,127,0.0001
142,-184.9388,[8.8524 -8.9318 ],[0.0178 -0.0165 ],0.0243,[-2.2953 2.1363 ],3.1356,0.0077,127,0.0001
143,-185.0142,[8.8702 -8.9483 ],[0.0163 -0.0175 ],0.0239,[-2.1047 2.2583 ],3.0870,0.0077,127,0.0001
144,-185.0874,[8.8865 -8.9658 ],[0.0172 -0.0161 ],0.0235,[-2.2219 2.0735 ],3.0391,0.0077,127,0.0001
145,-185.1582,[8.9037 -8.9819 ],[0.0158 -0.0169 ],0.0232,[-2.0427 2.1862 ],2.9920,0.0077,127,0.0001
146,-185.2269,[8.9195 -8.9988 ],[0.0167 -0.0156 ],0.0228,[-2.1510 2.0124 ],2.9456,0.0077,127,0.0001
147,-185.2935,[8.9362 -9.0144 ],[0.0153 -0.0164 ],0.0224,[-1.9825 2.1164 ],2.9000,0.0077,127,0.0001
148,-185.3580,[8.9515 -9.0307 ],[0.0161 -0.0151 ],0.0221,[-2.0825 1.9530 ],2.8550,0.0077,127,0.0001
149,-185.4206,[8.9676 -9.0459 ],[0.0149 -0.0159 ],0.0218,[-1.9240 2.0490 ],2.8107,0.0077,127,0.0001
150,-185.4812,[8.9825 -9.0617 ],[0.0156 -0.0147 ],0.0214,[-2.0162 1.8953 ],2.7672,0.0077,127,0.0001
151,-185.5400,[8.9981 -9.0764 ],[0.0145 -0.0154 ],0.0211,[-1.8671 1.9839 ],2.7243,0.0077,127,0.0001
152,-185.5969,[9.0126 -9.0918 ],[0.0151 -0.0142 ],0.0208,[-1.9521 1.8393 ],2.6821,0.0077,127,0.0001
153,-185.6521,[9.0277 -9.1060 ],[0.0140 -0.0149 ],0.0204,[-1.8118 1.9208 ],2.6405,0.0077,127,0.0001
154,-185.7056,[9.0417 -9.1209 ],[0.0146 -0.0138 ],0.0201,[-1.8901 1.7847 ],2.5996,0.0077,127,0.0001
155,-185.7575,[9.0563 -9.1347 ],[0.0136 -0.0144 ],0.0198,[-1.7581 1.8599 ],2.5593,0.0077,127,0.0001
156,-185.8078,[9.0700 -9.1491 ],[0.0142 -0.0134 ],0.0195,[-1.8301 1.7318 ],2.5196,0.0077,127,0.0001
157,-185.8565,[9.0841 -9.1625 ],[0.0132 -0.0139 ],0.0192,[-1.7059 1.8009 ],2.4806,0.0077,127,0.0001
158,-185.9037,[9.0973 -9.1764 ],[0.0137 -0.0130 ],0.0189,[-1.7722 1.6803 ],2.4421,0.0077,127,0.0001
159,-185.9495,[9.1110 -9.1894 ],[0.0128 -0.0135 ],0.0186,[-1.6551 1.7439 ],2.4043,0.0077,127,0.0001
160,-185.9939,[9.1239 -9.2029 ],[0.0133 -0.0126 ],0.0183,[-1.7161 1.6303 ],2.3670,0.0077,127,0.0001
161,-186.0369,[9.1371 -9.2156 ],[0.0124 -0.0131 ],0.0180,[-1.6059 1.6887 ],2.3304,0.0077,127,0.0001
162,-186.0786,[9.1496 -9.2286 ],[0.0129 -0.0122 ],0.0178,[-1.6618 1.5818 ],2.2943,0.0077,127,0.0001
163,-186.1190,[9.1624 -9.2409 ],[0.0121 -0.0127 ],0.0175,[-1.5580 1.6354 ],2.2587,0.0077,127,0.0001
164,-186.1582,[9.1745 -9.2535 ],[0.0125 -0.0119 ],0.0172,[-1.6093 1.5346 ],2.2237,0.0077,127,0.0001
