n,f(x),x,p,||p||,gradient,||gradient||,alpha,eps
155,-10.2435,[-2.1630 2.8184 ],[-0.2955 0.3785 ],0.4802,[0.2955 -0.3785 ],0.4802,0.0099,0.0001
156,-10.2458,[-2.1659 2.8221 ],[-0.5833 0.7471 ],0.9479,[0.2929 -0.3752 ],0.4760,0.0099,0.0001
157,-10.2502,[-2.1717 2.8295 ],[-0.2879 0.3687 ],0.4678,[0.2879 -0.3687 ],0.4678,0.0099,0.0001
158,-10.2524,[-2.1745 2.8332 ],[-0.5683 0.7279 ],0.9234,[0.2854 -0.3655 ],0.4637,0.0099,0.0001
159,-10.2566,[-2.1802 2.8404 ],[-0.2805 0.3592 ],0.4557,[0.2805 -0.3592 ],0.4557,0.0099,0.0001
160,-10.2586,[-2.1829 2.8439 ],[-0.5536 0.7091 ],0.8996,[0.2780 -0.3561 ],0.4518,0.0099,0.0001
161,-10.2626,[-2.1884 2.8509 ],[-0.2732 0.3499 ],0.4440,[0.2732 -0.3499 ],0.4440,0.0099,0.0001
162,-10.2646,[-2.1911 2.8544 ],[-0.5393 0.6908 ],0.8764,[0.2708 -0.3469 ],0.4401,0.0099,0.0001
163,-10.2683,[-2.1965 2.8612 ],[-0.2662 0.3409 ],0.4325,[0.2662 -0.3409 ],0.4325,0.0099,0.0001
164,-10.2702,[-2.1991 2.8646 ],[-0.5254 0.6729 ],0.8538,[0.2639 -0.3379 ],0.4287,0.0099,0.0001
165,-10.2738,[-2.2043 2.8713 ],[-0.2593 0.3321 ],0.4213,[0.2593 -0.3321 ],0.4213,0.0099,0.0001
166,-10.2755,[-2.2069 2.8746 ],[-0.5119 0.6556 ],0.8317,[0.2570 -0.3292 ],0.4177,0.0099,0.0001
167,-10.2789,[-2.2119 2.8811 ],[-0.2526 0.3235 ],0.4105,[0.2526 -0.3235 ],0.4105,0.0099,0.0001
168,-10.2806,[-2.2144 2.8843 ],[-0.4987 0.6387 ],0.8103,[0.2504 -0.3207 ],0.4069,0.0099,0.0001
169,-10.2838,[-2.2194 2.8906 ],[-0.2461 0.3152 ],0.3999,[0.2461 -0.3152 ],0.3999,0.0099,0.0001
170,-10.2854,[-2.2218 2.8937 ],[-0.4858 0.6222 ],0.7894,[0.2439 -0.3124 ],0.3964,0.0099,0.0001
171,-10.2885,[-2.2266 2.8998 ],[-0.2397 0.3070 ],0.3896,[0.2397 -0.3070 ],0.3896,0.0099,0.0001
172,-10.2900,[-2.2290 2.9029 ],[-0.4732 0.6061 ],0.7690,[0.2377 -0.3044 ],0.3862,0.0099,0.0001
173,-10.2929,[-2.2337 2.9089 ],[-0.2335 0.2991 ],0.3795,[0.2335 -0.2991 ],0.3795,0.0099,0.0001
