n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
121,-186.6535,[9.3558 -9.4291 ],[0.5273 -1.9030 ],1.9747,[-0.5273 1.9030 ],1.9747,0.0077,127,0.0001
122,-186.6763,[9.3598 -9.4438 ],[2.3676 -2.3598 ],3.3428,[-1.8610 0.5317 ],1.9355,0.0077,127,0.0001
123,-186.7195,[9.3782 -9.4621 ],[1.8168 -0.5027 ],1.8850,[-1.8168 0.5027 ],1.8850,0.0077,127,0.0001
124,-186.7403,[9.3922 -9.4660 ],[2.2522 -2.2596 ],3.1903,[-0.5069 1.7767 ],1.8476,0.0077,127,0.0001
125,-186.7796,[9.4097 -9.4835 ],[0.4793 -1.7344 ],1.7994,[-0.4793 1.7344 ],1.7994,0.0077,127,0.0001
126,-186.7985,[9.4134 -9.4969 ],[2.1566 -2.1495 ],3.0448,[-1.6961 0.4833 ],1.7637,0.0077,127,0.0001
127,-186.8343,[9.4301 -9.5135 ],[1.6558 -0.4570 ],1.7177,[-1.6558 0.4570 ],1.7177,0.0077,127,0.0001
128,-186.8515,[9.4429 -9.5171 ],[2.0514 -2.0582 ],2.9060,[-0.4608 1.6192 ],1.6835,0.0077,127,0.0001
129,-186.8841,[9.4588 -9.5330 ],[0.4357 -1.5807 ],1.6397,[-0.4357 1.5807 ],1.6397,0.0077,127,0.0001
130,-186.8999,[9.4621 -9.5452 ],[1.9644 -1.9579 ],2.7735,[-1.5458 0.4394 ],1.6071,0.0077,127,0.0001
131,-186.9296,[9.4773 -9.5604 ],[1.5091 -0.4154 ],1.5652,[-1.5091 0.4154 ],1.5652,0.0077,127,0.0001
132,-186.9439,[9.4890 -9.5636 ],[1.8686 -1.8748 ],2.6470,[-0.4190 1.4757 ],1.5341,0.0077,127,0.0001
133,-186.9709,[9.5035 -9.5781 ],[0.3961 -1.4406 ],1.4941,[-0.3961 1.4406 ],1.4941,0.0077,127,0.0001
134,-186.9839,[9.5066 -9.5893 ],[1.7893 -1.7834 ],2.5263,[-1.4088 0.3995 ],1.4644,0.0077,127,0.0001
135,-187.0086,[9.5204 -9.6031 ],[1.3753 -0.3777 ],1.4262,[-1.3753 0.3777 ],1.4262,0.0077,127,0.0001
136,-187.0205,[9.5311 -9.6060 ],[1.7020 -1.7077 ],2.4111,[-0.3809 1.3449 ],1.3978,0.0077,127,0.0001
137,-187.0429,[9.5442 -9.6192 ],[0.3602 -1.3129 ],1.3614,[-0.3602 1.3129 ],1.3614,0.0077,127,0.0001
138,-187.0537,[9.5470 -9.6294 ],[1.6299 -1.6244 ],2.3011,[-1.2839 0.3633 ],1.3343,0.0077,127,0.0001
139,-187.0742,[9.5596 -9.6420 ],[1.2533 -0.3434 ],1.2995,[-1.2533 0.3434 ],1.2995,0.0077,127,0.0001
140,-187.0840,[9.5693 -9.6446 ],[1.5503 -1.5555 ],2.1962,[-0.3464 1.2257 ],1.2737,0.0077,127,0.0001
141,-187.1026,[9.5813 -9.6567 ],[0.3275 -1.1965 ],1.2405,[-0.3275 1.1965 ],1.2405,0.0077,127,0.0001
142,-187.1116,[9.5839 -9.6659 ],[1.4846 -1.4796 ],2.0960,[-1.1700 0.3303 ],1.2158,0.0077,127,0.0001
143,-187.1286,[9.5954 -9.6774 ],[1.1422 -0.3123 ],1.1841,[-1.1422 0.3123 ],1.1841,0.0077,127,0.0001
144,-187.1368,[9.6042 -9.6798 ],[1.4121 -1.4169 ],2.0004,[-0.3150 1.1169 ],1.1605,0.0077,127,0.0001
145,-187.1522,[9.6151 -9.6908 ],[0.2978 -1.0903 ],1.1303,[-0.2978 1.0903 ],1.1303,0.0077,127,0.0001
146,-187.1596,[9.6175 -9.6992 ],[1.3523 -1.3477 ],1.9092,[-1.0662 0.3004 ],1.1078,0.0077,127,0.0001
147,-187.1737,[9.6279 -9.7096 ],[1.0409 -0.2840 ],1.0789,[-1.0409 0.2840 ],1.0789,0.0077,127,0.0001
148,-187.1805,[9.6360 -9.7118 ],[1.2863 -1.2906 ],1.8222,[-0.2865 1.0178 ],1.0574,0.0077,127,0.0001
149,-187.1933,[9.6459 -9.7218 ],[0.2709 -0.9936 ],1.0299,[-0.2709 0.9936 ],1.0299,0.0077,127,0.0001
150,-187.1995,[9.6480 -9.7295 ],[1.2318 -1.2276 ],1.7391,[-0.9716 0.2732 ],1.0093,0.0077,127,0.0001
151,-187.2112,[9.6576 -9.7390 ],[0.9485 -0.2583 ],0.9830,[-0.9485 0.2583 ],0.9830,0.0077,127,0.0001
152,-187.2168,[9.6649 -9.7410 ],[1.1716 -1.1756 ],1.6598,[-0.2606 0.9275 ],0.9634,0.0077,127,0.0001
153,-187.2274,[9.6740 -9.7501 ],[0.2464 -0.9054 ],0.9383,[-0.2464 0.9054 ],0.9383,0.0077,127,0.0001
154,-187.2326,[9.6759 -9.7571 ],[1.1220 -1.1182 ],1.5841,[-0.8854 0.2485 ],0.9196,0.0077,127,0.0001
155,-187.2423,[9.6846 -9.7658 ],[0.8643 -0.2350 ],0.8957,[-0.8643 0.2350 ],0.8957,0.0077,127,0.0001
